date,window,score,regime
1975-10-23,rolling20y,46.61,cool
1975-10-24,full,53.46,cool
1975-10-24,rolling20y,46.61,cool
1975-10-27,full,53.46,cool
1975-10-27,rolling20y,46.61,cool
1975-10-28,full,53.46,cool
1975-10-28,rolling20y,46.61,cool
1975-10-29,full,53.46,cool
1975-10-29,rolling20y,46.61,cool
1975-10-30,full,53.46,cool
1975-10-30,rolling20y,46.61,cool
1975-10-31,full,53.46,cool
1975-10-31,rolling20y,46.61,cool
1975-11-03,full,54.19,cool
1975-11-03,rolling20y,47.37,cool
1975-11-04,full,54.19,cool
1975-11-04,rolling20y,47.37,cool
1975-11-05,full,54.19,cool
1975-11-05,rolling20y,47.37,cool
1975-11-06,full,54.19,cool
1975-11-06,rolling20y,47.37,cool
1975-11-07,full,54.19,cool
1975-11-07,rolling20y,47.37,cool
1975-11-10,full,54.19,cool
1975-11-10,rolling20y,47.37,cool
1975-11-11,full,54.19,cool
1975-11-11,rolling20y,47.37,cool
1975-11-12,full,54.19,cool
1975-11-12,rolling20y,47.37,cool
1975-11-13,full,54.19,cool
1975-11-13,rolling20y,47.37,cool
1975-11-14,full,54.19,cool
1975-11-14,rolling20y,47.37,cool
1975-11-17,full,54.19,cool
1975-11-17,rolling20y,47.37,cool
1975-11-18,full,54.19,cool
1975-11-18,rolling20y,47.37,cool
1975-11-19,full,54.19,cool
1975-11-19,rolling20y,47.37,cool
1975-11-20,full,54.19,cool
1975-11-20,rolling20y,47.37,cool
1975-11-21,full,54.19,cool
1975-11-21,rolling20y,47.37,cool
1975-11-24,full,54.19,cool
1975-11-24,rolling20y,47.37,cool
1975-11-25,full,54.19,cool
1975-11-25,rolling20y,47.37,cool
1975-11-26,full,54.19,cool
1975-11-26,rolling20y,47.37,cool
1975-11-27,full,54.19,cool
1975-11-27,rolling20y,47.37,cool
1975-11-28,full,54.19,cool
1975-11-28,rolling20y,47.37,cool
1975-12-01,full,54.13,cool
1975-12-01,rolling20y,47.3,cool
1975-12-02,full,54.13,cool
1975-12-02,rolling20y,47.3,cool
1975-12-03,full,54.13,cool
1975-12-03,rolling20y,47.3,cool
1975-12-04,full,54.13,cool
1975-12-04,rolling20y,47.3,cool
1975-12-05,full,54.13,cool
1975-12-05,rolling20y,47.3,cool
1975-12-08,full,54.13,cool
1975-12-08,rolling20y,47.3,cool
1975-12-09,full,54.13,cool
1975-12-09,rolling20y,47.3,cool
1975-12-10,full,54.13,cool
1975-12-10,rolling20y,47.3,cool
1975-12-11,full,54.13,cool
1975-12-11,rolling20y,47.3,cool
1975-12-12,full,54.13,cool
1975-12-12,rolling20y,47.3,cool
1975-12-15,full,54.13,cool
1975-12-15,rolling20y,47.3,cool
1975-12-16,full,54.13,cool
1975-12-16,rolling20y,47.3,cool
1975-12-17,full,54.13,cool
1975-12-17,rolling20y,47.3,cool
1975-12-18,full,54.13,cool
1975-12-18,rolling20y,47.3,cool
1975-12-19,full,54.13,cool
1975-12-19,rolling20y,47.3,cool
1975-12-22,full,54.13,cool
1975-12-22,rolling20y,47.3,cool
1975-12-23,full,54.13,cool
1975-12-23,rolling20y,47.3,cool
1975-12-24,full,54.13,cool
1975-12-24,rolling20y,47.3,cool
1975-12-25,full,54.13,cool
1975-12-25,rolling20y,47.3,cool
1975-12-26,full,54.13,cool
1975-12-26,rolling20y,47.3,cool
1975-12-29,full,54.13,cool
1975-12-29,rolling20y,47.3,cool
1975-12-30,full,54.13,cool
1975-12-30,rolling20y,47.3,cool
1975-12-31,full,54.13,cool
1975-12-31,rolling20y,47.3,cool
1976-01-01,full,55.09,cool
1976-01-01,rolling20y,46.76,cool
1976-01-02,full,55.09,cool
1976-01-02,rolling20y,46.76,cool
1976-01-05,full,55.09,cool
1976-01-05,rolling20y,46.76,cool
1976-01-06,full,55.09,cool
1976-01-06,rolling20y,46.76,cool
1976-01-07,full,55.09,cool
1976-01-07,rolling20y,46.76,cool
1976-01-08,full,55.09,cool
1976-01-08,rolling20y,46.76,cool
1976-01-09,full,55.09,cool
1976-01-09,rolling20y,46.76,cool
1976-01-12,full,55.09,cool
1976-01-12,rolling20y,46.76,cool
1976-01-13,full,55.09,cool
1976-01-13,rolling20y,46.76,cool
1976-01-14,full,55.09,cool
1976-01-14,rolling20y,46.76,cool
1976-01-15,full,55.09,cool
1976-01-15,rolling20y,46.76,cool
1976-01-16,full,55.09,cool
1976-01-16,rolling20y,46.76,cool
1976-01-19,full,55.09,cool
1976-01-19,rolling20y,46.76,cool
1976-01-20,full,55.09,cool
1976-01-20,rolling20y,46.76,cool
1976-01-21,full,55.09,cool
1976-01-21,rolling20y,46.76,cool
1976-01-22,full,55.09,cool
1976-01-22,rolling20y,46.76,cool
1976-01-23,full,55.09,cool
