date,window,pillar,score
1990-06-07,rolling20y,valuation,86.46
1990-06-08,full,leverage,99.37
1990-06-08,full,liquidity,38.46
1990-06-08,full,valuation,63.61
1990-06-08,rolling20y,leverage,98.75
1990-06-08,rolling20y,liquidity,43.17
1990-06-08,rolling20y,valuation,86.46
1990-06-11,full,leverage,99.37
1990-06-11,full,liquidity,38.61
1990-06-11,full,valuation,63.61
1990-06-11,rolling20y,leverage,98.75
1990-06-11,rolling20y,liquidity,43.32
1990-06-11,rolling20y,valuation,86.46
1990-06-12,full,leverage,99.37
1990-06-12,full,liquidity,38.61
1990-06-12,full,valuation,63.61
1990-06-12,rolling20y,leverage,98.75
1990-06-12,rolling20y,liquidity,43.32
1990-06-12,rolling20y,valuation,86.46
1990-06-13,full,leverage,99.37
1990-06-13,full,liquidity,38.44
1990-06-13,full,valuation,63.61
1990-06-13,rolling20y,leverage,98.75
1990-06-13,rolling20y,liquidity,43.16
1990-06-13,rolling20y,valuation,86.46
1990-06-14,full,leverage,99.37
1990-06-14,full,liquidity,38.29
1990-06-14,full,valuation,63.61
1990-06-14,rolling20y,leverage,98.75
1990-06-14,rolling20y,liquidity,43.01
1990-06-14,rolling20y,valuation,86.46
1990-06-15,full,leverage,99.37
1990-06-15,full,liquidity,38.44
1990-06-15,full,valuation,63.61
1990-06-15,rolling20y,leverage,98.75
1990-06-15,rolling20y,liquidity,43.16
1990-06-15,rolling20y,valuation,86.46
1990-06-18,full,leverage,99.37
